2010-10-11 20:12:07 Notice: Notice (8): Undefined property: AuthComponent::$Acl in [/mnt/projects/computer/zeiterfassung_epple/workspace/zeiterfassung_epple/cake/libs/controller/components/auth.php, line 527]
2010-10-11 20:13:56 Notice: Notice (8): Undefined property: AuthComponent::$Acl in [/mnt/projects/computer/zeiterfassung_epple/workspace/zeiterfassung_epple/cake/libs/controller/components/auth.php, line 527]
2010-10-11 20:14:04 Notice: Notice (8): Undefined property: AuthComponent::$Acl in [/mnt/projects/computer/zeiterfassung_epple/workspace/zeiterfassung_epple/cake/libs/controller/components/auth.php, line 527]
2010-10-16 18:24:49 Notice: Notice (8): Undefined variable: cakeDebug in [/mnt/projects/computer/zeiterfassung_epple/workspace/zeiterfassung_epple/app/plugins/acl/views/layouts/default.ctp, line 67]
2010-10-16 18:27:47 Notice: Notice (8): Undefined variable: cakeDebug in [/mnt/projects/computer/zeiterfassung_epple/workspace/zeiterfassung_epple/app/plugins/acl/views/layouts/default.ctp, line 67]
2010-10-16 18:27:50 Notice: Notice (8): Undefined variable: cakeDebug in [/mnt/projects/computer/zeiterfassung_epple/workspace/zeiterfassung_epple/app/plugins/acl/views/layouts/default.ctp, line 67]
2010-10-16 18:30:17 Notice: Notice (8): Undefined variable: cakeDebug in [/mnt/projects/computer/zeiterfassung_epple/workspace/zeiterfassung_epple/app/plugins/acl/views/layouts/default.ctp, line 67]
2010-10-16 18:38:57 Notice: Notice (8): Undefined variable: cakeDebug in [/mnt/projects/computer/zeiterfassung_epple/workspace/zeiterfassung_epple/app/plugins/acl/views/layouts/default.ctp, line 67]
2010-10-16 19:17:27 Notice: Notice (8): Use of undefined constant Group - assumed 'Group' in [/mnt/projects/computer/zeiterfassung_epple/workspace/zeiterfassung_epple/app/controllers/users_controller.php, line 63]
2010-10-16 19:17:27 Notice: Notice (8): Use of undefined constant Group - assumed 'Group' in [/mnt/projects/computer/zeiterfassung_epple/workspace/zeiterfassung_epple/app/controllers/users_controller.php, line 71]
2010-10-16 19:17:27 Notice: Notice (8): Use of undefined constant Group - assumed 'Group' in [/mnt/projects/computer/zeiterfassung_epple/workspace/zeiterfassung_epple/app/controllers/users_controller.php, line 76]
2010-10-16 19:19:40 Notice: Notice (8): Use of undefined constant Group - assumed 'Group' in [/mnt/projects/computer/zeiterfassung_epple/workspace/zeiterfassung_epple/app/controllers/users_controller.php, line 63]
2010-10-16 19:19:40 Notice: Notice (8): Use of undefined constant Group - assumed 'Group' in [/mnt/projects/computer/zeiterfassung_epple/workspace/zeiterfassung_epple/app/controllers/users_controller.php, line 71]
2010-10-16 19:19:40 Notice: Notice (8): Use of undefined constant Group - assumed 'Group' in [/mnt/projects/computer/zeiterfassung_epple/workspace/zeiterfassung_epple/app/controllers/users_controller.php, line 76]
2010-10-17 12:06:55 Notice: Notice (8): Undefined property: View::$Acl in [/mnt/projects/computer/zeiterfassung_epple/workspace/zeiterfassung_epple/app/views/layouts/default.ctp, line 60]
2010-10-17 12:09:04 Notice: Notice (8): Undefined property: View::$Acl in [/mnt/projects/computer/zeiterfassung_epple/workspace/zeiterfassung_epple/app/views/layouts/default.ctp, line 61]
2010-10-17 12:09:37 Notice: Notice (8): Undefined property: View::$User in [/mnt/projects/computer/zeiterfassung_epple/workspace/zeiterfassung_epple/app/views/layouts/default.ctp, line 59]
